,price,area_total,area_util,quarto,banheiro,vaga,bairro
2318,R$ 200.000,35 m² área total,35 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Morumbi
2319,R$ 509.000,137 m² área total,70 m² área útil,0 Quartos,2 Banheiros,2 Vagas,<span> Aclimação
2320,R$ 220.000,26 m² área total,26 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Santana
2321,R$ 350.000,42 m² área total,32 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Campos Elíseos
2322,R$ 1.160.000,62 m² área total,62 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Jardins
2323,R$ 294.000,33 m² área total,33 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
2324,R$ 270.000,65 m² área total,49 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Parque Edu Chaves
2325,R$ 655.000,60 m² área total,60 m² área útil,3 Quartos,2 Banheiros,1 Vaga,<span> Pompéia
2326,R$ 175.000,40 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Mariana
2327,R$ 280.000,70 m² área total,50 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Jabaquara
2328,R$ 1.260.000,136 m² área total,136 m² área útil,4 Quartos,3 Banheiros,3 Vagas,<span> Perdizes
2329,R$ 1.480.000,120 m² área total,120 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Jardim Paulista
2330,R$ 635.000,40 m² área total,40 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
2331,R$ 1.598.000,438 m² área total,238 m² área útil,3 Quartos,5 Banheiros,3 Vagas,<span> Vila Suzana
2332,R$ 295.000,26 m² área total,26 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
2333,R$ 950.000,136 m² área total,136 m² área útil,4 Quartos,5 Banheiros,2 Vagas,<span> Jardim Marajoara
2334,R$ 640.000,70 m² área total,70 m² área útil,2 Quartos,1 Banheiro,2 Vagas,<span> Vila Leopoldina
2335,R$ 525.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Nova Conceição
2336,R$ 240.000,110 m² área total,65 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Vila Campo Grande
2337,R$ 1.700.000,10153 m² área to,170 m² área útil,3 Quartos,5 Banheiros,3 Vagas,<span> Vila Romana
2338,R$ 320.000,33 m² área total,33 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
2339,R$ 1.900.000,266 m² área total,266 m² área útil,4 Quartos,6 Banheiros,4 Vagas,<span> Jardim Marajoara
2340,R$ 490.000,42 m² área total,42 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardim Paulista
