,price,area_total,area_util,quarto,banheiro,vaga,bairro
793,R$ 450.000,7500 m² área tot,75 m² área útil,3 Quartos,2 Banheiros,2 Vagas,<span> Jardim Marajoara
794,R$ 555.000,121 m² área total,121 m² área útil,3 Quartos,1 Banheiro,1 Vaga,<span> Vila Romana
795,R$ 1.090.000,220 m² área total,111 m² área útil,2 Quartos,3 Banheiros,2 Vagas,<span> Ipiranga
796,R$ 3.500.000,198 m² área total,198 m² área útil,3 Quartos,5 Banheiros,3 Vagas,<span> Vila Mariana
797,R$ 461.000,55 m² área total,45 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Consolação
798,R$ 3.500.000,190 m² área total,190 m² área útil,3 Quartos,2 Banheiros,4 Vagas,<span> Campo Belo
799,R$ 525.000,18 m² área total,18 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Cerqueira César
800,R$ 315.000,30 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardim Paulista
801,R$ 570.000,65 m² área total,35 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
802,R$ 900.000,60 m² área total,58 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
803,R$ 505.000,80 m² área total,35 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
804,R$ 350.000,62 m² área total,62 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Vila Antônio
805,R$ 1.590.000,106 m² área total,106 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Vila Clementino
806,R$ 350.000,70 m² área total,36 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Monte Alegre
807,R$ 250.000,70 m² área total,37 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Bela Vista
808,R$ 520.000,180 m² área total,74 m² área útil,3 Quartos,2 Banheiros,2 Vagas,<span> São Judas
809,R$ 475.000,80 m² área total,38 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Moema
810,R$ 1.900.000,266 m² área total,266 m² área útil,4 Quartos,6 Banheiros,4 Vagas,<span> Jardim Marajoara
811,R$ 470.000,114 m² área total,53 m² área útil,2 Quartos,1 Banheiro,2 Vagas,<span> Barra Funda
812,R$ 822.200,130 m² área total,79 m² área útil,3 Quartos,2 Banheiros,2 Vagas,<span> Aclimação
813,R$ 330.000,56 m² área total,56 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Jardim Ester
814,R$ 440.000,39 m² área total,39 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
815,R$ 735.000,110 m² área total,90 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Vila Mascote
816,R$ 3.000.000,406 m² área total,219 m² área útil,4 Quartos,5 Banheiros,4 Vagas,<span> Perdizes
817,R$ 403.000,64 m² área total,64 m² área útil,3 Quartos,1 Banheiro,1 Vaga,<span> Ipiranga
818,R$ 385.000,85 m² área total,84 m² área útil,3 Quartos,2 Banheiros,2 Vagas,<span> Sacomã
819,R$ 1.298.000,127 m² área total,127 m² área útil,3 Quartos,5 Banheiros,2 Vagas,<span> Brooklin
820,R$ 2.800.000,246 m² área total,246 m² área útil,3 Quartos,5 Banheiros,4 Vagas,<span> Mooca
821,R$ 248.000,50 m² área total,50 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Parada Inglesa
822,R$ 415.000,32 m² área total,32 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
823,R$ 215.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Brooklin Novo
824,R$ 220.000,23 m² área total,23 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
825,R$ 400.000,48 m² área total,48 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Morumbi
826,R$ 300.000,65 m² área total,28 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Pinheiros
827,R$ 300.000,68 m² área total,68 m² área útil,3 Quartos,1 Banheiro,1 Vaga,<span> Parque Novo Mundo
828,R$ 1.820.000,252 m² área total,172 m² área útil,4 Quartos,5 Banheiros,3 Vagas,<span> Vila Leopoldina
829,R$ 265.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
830,R$ 300.000,30 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Consolação
831,R$ 530.000,50 m² área total,50 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Vila Olímpia
832,R$ 2.000.000,147 m² área total,147 m² área útil,3 Quartos,3 Banheiros,3 Vagas,<span> Brooklin
833,R$ 1.440.000,130 m² área total,130 m² área útil,3 Quartos,4 Banheiros,3 Vagas,<span> Vila Leopoldina
834,R$ 265.000,70 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
835,R$ 775.000,55 m² área total,55 m² área útil,2 Quartos,1 Banheiro,2 Vagas,<span> Vila Nova Conceição
836,R$ 4.200.000,210 m² área total,210 m² área útil,2 Quartos,4 Banheiros,3 Vagas,<span> Itaim Bibi
837,R$ 270.000,30 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
838,R$ 280.000,35 m² área total,35 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Morumbi
839,R$ 480.000,43 m² área total,43 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardim Europa
840,R$ 289.800,70 m² área total,36 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Guarani
841,R$ 570.000,65 m² área total,35 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
842,R$ 265.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
843,R$ 3.950.000,290 m² área total,241 m² área útil,3 Quartos,2 Banheiros,2 Vagas,<span> Itaim Bibi
844,R$ 400.000,22 m² área total,22 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Congonhas
845,R$ 275.000,64 m² área total,26 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
846,R$ 1.300.000,102 m² área total,102 m² área útil,2 Quartos,3 Banheiros,2 Vagas,<span> Campo Belo
847,R$ 3.900.000,360 m² área total,186 m² área útil,2 Quartos,3 Banheiros,3 Vagas,<span> Itaim Bibi
848,R$ 285.000,65 m² área total,65 m² área útil,3 Quartos,1 Banheiro,1 Vaga,<span> Vila Ema
849,R$ 320.000,80 m² área total,37 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Bela Vista
850,R$ 1.180.000,105 m² área total,105 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Vila Pompéia
851,R$ 280.000,90 m² área total,26 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Brooklin
852,R$ 1.800.000,152 m² área total,152 m² área útil,3 Quartos,3 Banheiros,3 Vagas,<span> Brooklin
853,R$ 510.000,90 m² área total,50 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Moema
854,R$ 1.099.000,127 m² área total,127 m² área útil,4 Quartos,3 Banheiros,2 Vagas,<span> Vila Guarani
855,R$ 440.000,39 m² área total,39 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
856,R$ 2.500.000,347 m² área total,305 m² área útil,3 Quartos,4 Banheiros,1 Vaga,<span> Higien
857,R$ 210.000,30 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Mariana
858,R$ 420.000,80 m² área total,38 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
859,R$ 240.000,65 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardim Aeroporto
860,R$ 1.200.000,67 m² área total,67 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Jardins
861,R$ 1.700.000,172 m² área total,172 m² área útil,3 Quartos,5 Banheiros,3 Vagas,<span> Vila Leopoldina
862,R$ 890.000,55 m² área total,55 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
863,R$ 1.700.000,350 m² área total,194 m² área útil,4 Quartos,4 Banheiros,4 Vagas,<span> Panamby
864,R$ 650.000,82 m² área total,82 m² área útil,1 Quarto,2 Banheiros,2 Vagas,<span> Panamby
865,R$ 250.000,70 m² área total,37 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Bela Vista
866,R$ 265.000,65 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
867,R$ 380.000,28 m² área total,28 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
868,R$ 730.000,131 m² área total,64 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Vila Madalena
869,R$ 280.000,25 m² área total,25 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
870,R$ 1.475.000,100 m² área total,91 m² área útil,2 Quartos,1 Banheiro,2 Vagas,<span> Vila Olímpia
871,R$ 470.000,45 m² área total,45 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Nova Conceição
872,R$ 155.000,35 m² área total,28 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Tatuapé
873,R$ 9.200.000,340 m² área total,340 m² área útil,4 Quartos,5 Banheiros,4 Vagas,<span> Vila Mariana
874,R$ 590.000,54 m² área total,54 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Vila Olímpia
875,R$ 1.080.000,52 m² área total,52 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Paraíso
876,R$ 365.000,32 m² área total,32 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
877,R$ 450.000,32 m² área total,32 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
878,R$ 1.385.000,130 m² área total,130 m² área útil,4 Quartos,5 Banheiros,3 Vagas,<span> Santa Teresinha
879,R$ 690.000,135 m² área total,82 m² área útil,2 Quartos,3 Banheiros,2 Vagas,<span> Ipiranga
880,R$ 820.000,78 m² área total,78 m² área útil,3 Quartos,2 Banheiros,2 Vagas,<span> Saúde
881,R$ 440.000,50 m² área total,50 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Granja Julieta
882,R$ 780.000,80 m² área total,71 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Jardins
883,R$ 540.000,143 m² área total,61 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Alto da Lapa
884,R$ 320.000,33 m² área total,33 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
885,R$ 470.000,80 m² área total,43 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
886,R$ 830.000,112 m² área total,98 m² área útil,2 Quartos,4 Banheiros,2 Vagas,<span> Jurubatuba
887,R$ 270.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
888,R$ 4.197.000,442 m² área total,251 m² área útil,3 Quartos,5 Banheiros,4 Vagas,<span> Perdizes
889,R$ 465.000,60 m² área total,18 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Centro
890,R$ 300.000,33 m² área total,33 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
891,R$ 410.000,40 m² área total,40 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
892,R$ 365.000,32 m² área total,32 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Consolação
893,R$ 430.000,45 m² área total,45 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
894,R$ 660.800,52 m² área total,52 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
895,R$ 310.000,33 m² área total,33 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
896,R$ 840.000,52 m² área total,52 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
897,R$ 695.000,52 m² área total,52 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Pinheiros
898,R$ 230.000,27 m² área total,27 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
899,R$ 415.000,32 m² área total,32 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
900,R$ 470.000,40 m² área total,40 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Indian
901,R$ 780.000,87 m² área total,87 m² área útil,2 Quartos,3 Banheiros,2 Vagas,<span> Vila Mascote
902,R$ 903.000,74 m² área total,74 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Barra Funda
903,R$ 200.000,80 m² área total,31 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Morumbi
904,R$ 730.000,142 m² área total,142 m² área útil,3 Quartos,4 Banheiros,2 Vagas,<span> Mooca
905,R$ 510.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
906,R$ 750.000,102 m² área total,80 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Perdizes
907,R$ 450.000,52 m² área total,52 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Vila Olímpia
908,R$ 830.000,128 m² área total,96 m² área útil,3 Quartos,1 Banheiro,3 Vagas,<span> Vila Leopoldina
909,R$ 230.000,26 m² área total,26 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
910,R$ 310.000,15 m² área total,15 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardim das Acácias
911,R$ 330.000,63 m² área total,63 m² área útil,3 Quartos,1 Banheiro,1 Vaga,<span> Vila Firmiano Pinto
912,R$ 900.000,134 m² área total,104 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Santa Cecília
913,R$ 690.000,121 m² área total,82 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Pompéia
914,R$ 2.630.000,164 m² área total,164 m² área útil,3 Quartos,5 Banheiros,3 Vagas,<span> Ibirapuera
915,R$ 320.000,32 m² área total,32 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
916,R$ 470.000,43 m² área total,43 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Brooklin
917,R$ 320.000,33 m² área total,33 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
918,R$ 980.000,131 m² área total,73 m² área útil,2 Quartos,3 Banheiros,2 Vagas,<span> Pinheiros
919,R$ 1.350.000,38 m² área total,38 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Pinheiros
920,R$ 250.000,37 m² área total,37 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Consolação
921,R$ 1.430.000,150 m² área total,130 m² área útil,3 Quartos,4 Banheiros,2 Vagas,<span> Vila Leopoldina
922,R$ 310.000,26 m² área total,26 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Morumbi
923,R$ 730.000,37 m² área total,37 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Paraíso
924,R$ 430.000,74 m² área total,74 m² área útil,2 Quartos,1 Banheiro,3 Vagas,<span> Campos Elíseos
925,R$ 345.000,54 m² área total,54 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Vila das Mercês
926,R$ 400.000,80 m² área total,27 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
927,R$ 525.000,12 m² área total,12 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
928,R$ 730.000,90 m² área total,90 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Vila Romana
929,R$ 650.000,100 m² área total,77 m² área útil,3 Quartos,2 Banheiros,1 Vaga,<span> Santo Amaro
930,R$ 295.000,63 m² área total,25 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Chácara Santo Antônio
931,R$ 280.000,80 m² área total,26 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
932,R$ 4.000.000,480 m² área total,315 m² área útil,3 Quartos,5 Banheiros,4 Vagas,<span> Alto de Pinheiros
933,R$ 479.000,71 m² área total,71 m² área útil,3 Quartos,2 Banheiros,1 Vaga,<span> Brás
934,R$ 427.000,65 m² área total,65 m² área útil,3 Quartos,2 Banheiros,1 Vaga,<span> Vila Sofia
935,R$ 750.000,93 m² área total,93 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Jardim Marajoara
936,R$ 525.000,18 m² área total,18 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
937,R$ 317.000,58 m² área total,58 m² área útil,2 Quartos,1 Banheiro,2 Vagas,<span> Jardim Ester
938,R$ 2.200.000,352 m² área total,189 m² área útil,4 Quartos,5 Banheiros,3 Vagas,<span> Pinheiros
939,R$ 465.000,65 m² área total,38 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
940,R$ 1.350.000,174 m² área total,174 m² área útil,3 Quartos,3 Banheiros,3 Vagas,<span> Santana
941,R$ 470.000,90 m² área total,43 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
942,R$ 350.000,71 m² área total,26 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
943,R$ 460.000,51 m² área total,51 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Parque Residencial da Lapa
944,R$ 509.000,72 m² área total,72 m² área útil,3 Quartos,2 Banheiros,2 Vagas,<span> Jardim Marajoara
945,R$ 1.590.000,121 m² área total,121 m² área útil,3 Quartos,4 Banheiros,3 Vagas,<span> Moema
946,R$ 290.000,60 m² área total,23 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
947,R$ 1.245.000,130 m² área total,117 m² área útil,3 Quartos,4 Banheiros,2 Vagas,<span> Campo Belo
948,R$ 420.000,100 m² área total,74 m² área útil,2 Quartos,3 Banheiros,1 Vaga,<span> Jardim Marajoara
949,R$ 1.150.000,180 m² área total,114 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Vila Leopoldina
950,R$ 2.560.000,300 m² área total,196 m² área útil,4 Quartos,4 Banheiros,3 Vagas,<span> Perdizes
951,R$ 310.000,80 m² área total,33 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Consolação
952,R$ 318.000,30 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
953,R$ 250.000,23 m² área total,23 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Mariana
954,R$ 2.800.000,321 m² área total,221 m² área útil,4 Quartos,5 Banheiros,4 Vagas,<span> Perdizes
955,R$ 315.000,30 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardim Paulista
956,R$ 340.000,60 m² área total,50 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Jardim Marajoara
957,R$ 650.000,69 m² área total,69 m² área útil,3 Quartos,2 Banheiros,2 Vagas,<span> Jardim Santo Amaro
958,R$ 890.000,67 m² área total,67 m² área útil,2 Quartos,1 Banheiro,2 Vagas,<span> Moema
959,R$ 480.000,85 m² área total,65 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Vila Mascote
960,R$ 478.000,140 m² área total,140 m² área útil,3 Quartos,3 Banheiros,1 Vaga,<span> Santana
961,R$ 210.000,30 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
962,R$ 7.000.000,385 m² área total,385 m² área útil,3 Quartos,5 Banheiros,5 Vagas,<span> Campo Belo
963,R$ 620.000,34 m² área total,34 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
964,R$ 505.000,60 m² área total,40 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
965,R$ 290.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
966,R$ 520.000,65 m² área total,35 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
967,R$ 495.000,31 m² área total,31 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Cerqueira César
968,R$ 1.500.000,120 m² área total,120 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Itaim Bibi
969,R$ 240.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Campo Belo
970,R$ 295.000,26 m² área total,26 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
971,R$ 775.000,55 m² área total,55 m² área útil,2 Quartos,1 Banheiro,2 Vagas,<span> Vila Nova Conceição
972,R$ 1.750.000,200 m² área total,200 m² área útil,0 Quartos,4 Banheiros,3 Vagas,<span> Santa Teresinha
973,R$ 560.000,42 m² área total,42 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
974,R$ 4.470.000,208 m² área total,208 m² área útil,2 Quartos,4 Banheiros,4 Vagas,<span> Itaim Bibi
975,R$ 310.000,26 m² área total,26 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Morumbi
976,R$ 1.400.000,130 m² área total,130 m² área útil,3 Quartos,5 Banheiros,3 Vagas,<span> Vila Romana
977,R$ 1.950,230 m² área total,160 m² área útil,3 Quartos,5 Banheiros,4 Vagas,<span> Vila Madalena
978,R$ 1.450.000,108 m² área total,108 m² área útil,3 Quartos,4 Banheiros,2 Vagas,<span> Vila Mariana
979,R$ 730.000,37 m² área total,37 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
980,R$ 5.500.000,500 m² área total,335 m² área útil,4 Quartos,4 Banheiros,5 Vagas,<span> Pinheiros
981,R$ 840.000,52 m² área total,52 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
982,R$ 330.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Paraíso
983,R$ 190.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Chácara Santo Antônio
984,R$ 510.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
985,R$ 2.850.000,268 m² área total,268 m² área útil,0 Quartos,5 Banheiros,3 Vagas,<span> Santa Cecília
986,R$ 420.000,80 m² área total,38 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
987,R$ 1.650.000,151 m² área total,151 m² área útil,3 Quartos,5 Banheiros,3 Vagas,<span> Vila Leopoldina
988,R$ 425.000,64 m² área total,64 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Vila Anhang
989,R$ 350.000,70 m² área total,36 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Centro
990,R$ 2.040.000,155 m² área total,155 m² área útil,3 Quartos,5 Banheiros,3 Vagas,<span> Vila Mariana
991,R$ 480.000,78 m² área total,78 m² área útil,3 Quartos,2 Banheiros,2 Vagas,<span> Jabaquara
992,R$ 850.000,106 m² área total,105 m² área útil,3 Quartos,4 Banheiros,2 Vagas,<span> Vila Indiana
993,R$ 270.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
994,R$ 1.360.000,135 m² área total,135 m² área útil,3 Quartos,1 Banheiro,1 Vaga,<span> Itaim Bibi
995,R$ 120.000,60 m² área total,50 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Butantã
996,R$ 230.000,27 m² área total,27 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
997,R$ 956.000,116 m² área total,116 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Vila Mascote
998,R$ 1.465.000,200 m² área total,130 m² área útil,3 Quartos,3 Banheiros,3 Vagas,<span> Vila Olímpia
999,R$ 395.000,90 m² área total,42 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardim Paulista
1000,R$ 780.000,60 m² área total,60 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Mariana
1001,R$ 450.000,75 m² área total,62 m² área útil,3 Quartos,1 Banheiro,1 Vaga,<span> Vila Mascote
1002,R$ 259.000,18 m² área total,18 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Várzea da Barra Funda
1003,R$ 1.700.000,176 m² área total,176 m² área útil,3 Quartos,4 Banheiros,2 Vagas,<span> Vila Mariana
1004,R$ 500.000,100 m² área total,51 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Lapa
1005,R$ 7.700.000,600 m² área total,600 m² área útil,4 Quartos,6 Banheiros,2 Vagas,<span> Higien
1006,R$ 2.788.000,280 m² área total,210 m² área útil,4 Quartos,5 Banheiros,3 Vagas,<span> Higien
1007,R$ 525.000,80 m² área total,18 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Cerqueira César
1008,R$ 295.000,70 m² área total,36 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Conceição
1009,R$ 2.800.000,220 m² área total,220 m² área útil,4 Quartos,6 Banheiros,4 Vagas,<span> Perdizes
1010,R$ 1.500.000,75 m² área total,75 m² área útil,1 Quarto,2 Banheiros,1 Vaga,<span> Cerqueira César
1011,R$ 265.000,70 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
1012,R$ 599.000,75 m² área total,50 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Pinheiros
1013,R$ 780.000,47 m² área total,47 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
1014,R$ 300.000,80 m² área total,32 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Brooklin
1015,R$ 771.000,180 m² área total,148 m² área útil,3 Quartos,5 Banheiros,2 Vagas,<span> Parque Mandaqui
1016,R$ 300.000,82 m² área total,33 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
1017,R$ 4.100.000,250 m² área total,185 m² área útil,3 Quartos,4 Banheiros,3 Vagas,<span> Itaim Bibi
1018,R$ 850.000,45 m² área total,45 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
1019,R$ 390.000,77 m² área total,77 m² área útil,3 Quartos,2 Banheiros,1 Vaga,<span> Vila Matilde
1020,R$ 540.000,70 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
1021,R$ 282.000,65 m² área total,28 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
1022,R$ 450.000,71 m² área total,71 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Morumbi
1023,R$ 720.000,300 m² área total,110 m² área útil,3 Quartos,1 Banheiro,1 Vaga,<span> Perdizes
1024,R$ 390.000,74 m² área total,54 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Jabaquara
1025,R$ 1.000.000,113 m² área total,113 m² área útil,3 Quartos,2 Banheiros,2 Vagas,<span> Vila Santa Catarina
1026,R$ 371.000,43 m² área total,33 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardim Paulista
1027,R$ 2.750.000,139 m² área total,139 m² área útil,3 Quartos,5 Banheiros,2 Vagas,<span> Bela Vista
1028,R$ 300.000,30 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Consolação
1029,R$ 760.000,62 m² área total,62 m² área útil,2 Quartos,1 Banheiro,2 Vagas,<span> Jardins
1030,R$ 290.000,70 m² área total,31 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
1031,R$ 373.000,65 m² área total,32 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardim Paulista
1032,R$ 450.000,32 m² área total,32 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
